Task Name,Description,Status,Priority,Tags,Story Points,Area,Surface,Dependencies,List
R6.3 — Production company-web crawl + E2E smoke test,"Turn the Python company-web scaffold into a production crawler (Playwright + proxy + UA rotation); run a 100-company seed and verify searchable. AC: crawls domain to raw S3 with about/team parse; 100-company seed queryable by name/domain/industry/location; quarantine and manifest counts reconcile.",to do,Normal,"corpus,backend",8,corpus,backend,R6.1,R6 — Corpus pipeline maturation
"R6.4 — Broaden source coverage (LinkedIn, Crunchbase, job boards, Google Business)","Add bots/adapters for additional sources with account pools and strict rate caps. AC: each source maps to ProspectCandidate/CompanyCandidate with provenance; LinkedIn bot enforces account pool, per-account hourly cap, and 429 breaker.",to do,Normal,"corpus,backend",13,corpus,backend,R6.3,R6 — Corpus pipeline maturation
R6.5 — Signal collectors + growth metrics,"Build collectors for hiring (is_hiring, open_jobs, hiring_by_dept), funding/investors/leadership-change events, and 3/6/12-mo growth from historical snapshots. AC: hiring, funding, leadership signals populated and typed; growth metrics computed from stored history with provenance.",to do,Normal,"corpus,backend",8,corpus,backend,R6.3,R6 — Corpus pipeline maturation
R6.6 — Cleaner AI enrichment + full provenance,"AI industry/sub-industry classification in the cleaner, full Wappalyzer OSS rule set, and per-field source lineage end-to-end. AC: AI industry classification replaces static normalization; full Wappalyzer ruleset detects tech stack; per-field provenance populated through clean to ingest.",to do,Normal,"corpus,backend",8,corpus,backend,R6.3,R6 — Corpus pipeline maturation
R7.1 — ClickHouse analytics path,"Stream credit/enrichment/usage events to ClickHouse; move heavy analytics aggregates off Postgres. AC: events ingested to ClickHouse with documented schema; GET /analytics/report reads from ClickHouse with Postgres fallback; backfill job for existing transactions/jobs.",to do,Low,"analytics,infra",13,analytics,infra,none,R7 — Analytics & data platform
R7.2 — Outbound event webhooks,"Implement the /webhooks stub: register endpoints, sign payloads (HMAC), deliver on events with retries. AC: CRUD for endpoints and event subscriptions workspace-scoped; signed deliveries with retry and DLQ and a delivery log; at least 3 event types wired end-to-end.",to do,Low,"analytics,backend",5,analytics,backend,none,R7 — Analytics & data platform
R8.1 — CloudFront HTTPS edge,"Move the public edge from API Gateway in front of ALB to CloudFront once the AWS account is verified. AC: CloudFront distribution fronts the API with TLS and caching rules; HTTP to HTTPS redirect; ALB locked to CloudFront origin.",to do,Low,"platform,infra",5,platform,infra,AWS CloudFront verification,R8 — Platform / infrastructure
R8.2 — Stripe billing (global/USD),"Add Stripe alongside Razorpay for global/USD customers; shared credit-pack catalog; webhook to credit grant. AC: POST /billing/stripe/checkout creates a session and webhook verifies signature and credits on success; currency/region routing decides Stripe vs Razorpay; payment_orders and credit_transactions recorded identically.",to do,Low,"platform,backend",8,platform,backend,none,R8 — Platform / infrastructure
R8.3 — Multi-seat team management (invites + permissions),"Full team UI on existing owner/admin/member roles: invite by email, accept flow, per-seat permissions, remove/suspend. AC: invite to email to accept provisions workspace_members with chosen role; role gates enforced in API and UI; remove/suspend revokes access immediately.",to do,Low,"platform,backend,frontend",8,platform,backend,none,R8 — Platform / infrastructure
R9.1 — Bulk capture from LinkedIn search / Sales Navigator,"Capture multiple profiles at once from LinkedIn search results and Sales Navigator lists (checkbox select + add all), instead of one /in/ profile at a time. AC: detects results/Sales Nav pages with per-row select and select-all; bulk activates and adds to a chosen list; respects pagination with progress and per-row status; de-dupes against target list.",to do,High,"extension,frontend",8,extension,extension,none,R9 — Chrome extension
R9.2 — Company page + post-author capture,"Extend capture to LinkedIn company pages (firmographics + domain) and post/feed authors, removing the Not-a-LinkedIn-profile dead-end. AC: company page maps name/domain/industry/size to a CompanyCandidate; post/feed author resolves and captures the author profile; content-script matches updated for company and feed URLs.",to do,Normal,"extension,frontend",5,extension,extension,none,R9 — Chrome extension
R9.3 — Full enrichment parity + inline results,"Today the panel only requests email enrichment; add company/phone/validation (full PAL waterfall) and surface results inline. AC: field picker (company/email/validation/phone) mirrors the web app; panel polls the job and renders results with per-step status; phone gating and 402 insufficient_credits surfaced with a top-up hint.",to do,High,"extension,frontend",5,extension,extension,none,R9 — Chrome extension
R9.4 — Inline ICP score + fit badge,"Show the AI ICP score/band as a badge on the captured profile; trigger Score from the panel. AC: panel shows icpScore and band after scoring; Score action calls the API and handles ICP_NOT_CONFIGURED with a setup link; cached per prospect to avoid re-scoring on every open.",to do,High,"extension,frontend",3,extension,extension,none,R9 — Chrome extension
R9.5 — Enroll to sequence from the extension,"Let reps enroll a captured prospect or bulk selection into an outreach sequence directly from LinkedIn. AC: panel lists active sequences and enrolls single or bulk; activation happens first if not yet activated; confirmation with link back to the sequence in the web app.",to do,Normal,"extension,outreach,frontend",3,extension,extension,"R1.1; R1.2",R9 — Chrome extension
"R9.6 — Build pipeline, bundling & tests","Move from hand-loaded raw JS to a real build (bundler + env injection), share request/identity contracts with the backend, add tests. AC: bundled build output with env-driven default URLs; identity hashing and field mapping validated against shared contracts; unit tests for api.js mapping and auth flow run in CI.",to do,Normal,"extension,infra",5,extension,extension,none,R9 — Chrome extension
R9.7 — Chrome Web Store packaging & release + manifest cleanup,"Package for the Chrome Web Store (listing, privacy disclosures, screenshots) and clean the manifest: remove hardcoded dev ALB host, tighten broad optional host permissions, add the production CloudFront origin. AC: versioned zip and store listing assets with privacy/permissions justification; hardcoded dev host removed and permissions scoped to prod origins; CloudFront origin added to host_permissions and externally_connectable; auto-update verified post-publish.",to do,Low,"extension,infra",5,extension,extension,R8.1,R9 — Chrome extension
R9.8 — Auth & reliability hardening,"Harden the Skout-web auth bridge (token refresh, single 401-retry today), handle expired sessions gracefully, improve first-run onboarding. AC: silent token refresh before expiry with no dead buttons after session lapse; clear states for not-signed-in / host-permission-denied / API-unreachable; guided first-run connect to refresh lists to capture.",to do,Normal,"extension,frontend",3,extension,extension,none,R9 — Chrome extension
